"a.Country" "X1980" "X1981" "X1982" "X1983" "X1984" "X1985" "X1986" "X1987" "X1988" "X1989" "X1990" "X1991" "X1992" "X1993" "X1994" "X1995" "X1996" "X1997" "X1998" "X1999" "X2000" "X2001" "X2002" "X2003" "X2004" "X2005" "X2006" "X2007" "X2008" "X2009"
"56" "Kuwait" 31.41 23.6 23.11 25.5 26.49 25.67 29.62 33.87 38.43 43.08 27.74 42.48 23.51 30.71 37.45 39.99 49.32 52.82 56.79 56.49 59.5 57.46 56.23 63.44 67.87 76.72 77.31 76.18 79.83 84.87
"57" "Romania" 170.9 173.62 179.43 186.26 180.88 182.74 187.83 192.57 190.55 196.84 176.1 135.66 129.83 123.16 116.94 123.64 126.54 120.32 100.55 91.18 93.28 102 99.99 99.7 100.48 99.8 101.66 101.55 96.56 80.52
"58" "Korea, North" 110.51 114.45 120.27 125.74 129.53 135.44 134.88 129.08 161.2 129.05 124.18 121.11 105.77 97.69 90.53 83.08 71.6 66.35 59.78 65.75 69.4 71.11 68.39 69.98 71.6 74.66 75.72 62.89 69.57 79.55
"59" "Nigeria" 69.14 58.82 56.19 55.56 58.76 61 59.9 60.68 63.77 76.65 82.48 88.63 94.09 96.65 95.35 100.16 101.74 92.03 88.75 84.82 80.75 91.51 90.94 92.77 92.26 107.6 103.15 100.28 100.16 77.75
"60" "Philippines" 33.86 32.15 31.9 30.97 28.55 27.1 28.72 33.77 35.66 40.04 41.39 41.7 46.09 50.66 53.16 57.83 60.29 65.74 66.88 69.36 70.88 71.63 72.42 73.59 75.98 76.22 75.1 75.78 74.57 72.39
"61" "Israel" 23.5 24.86 26.04 27.25 27.52 26.52 28.05 30.54 32.94 33.88 34.97 36.14 41.85 46.04 48.6 49.08 49.6 54.54 56.42 57.58 60.33 67.13 65.57 64.64 66.15 69 68.6 69.56 67.26 70.48
"62" "Colombia" 39.66 40.97 41.77 42.93 45.64 45.25 45.13 42.68 47.18 47.62 41.42 47.84 53.65 55.09 53.83 54.01 56.89 62.79 64.35 57.74 57.69 56.52 55.41 57.11 55.84 60.09 61.07 62.13 64.99 70.15
"63" "Austria" 55.84 54.49 51.07 51.06 54.36 55.07 53.84 54.96 52.69 52.87 55.71 60.2 56.94 58.37 57.78 59.27 64.91 64.34 67.23 64.75 64.73 68.67 71.65 75.31 76.65 78.72 74.32 72.29 71.01 69.24
"64" "Qatar" 13.86 14.03 14.15 12.83 15.43 13.83 14.28 14.52 14.81 15.36 18.78 22.31 25.59 29.92 30.01 30.31 31.02 32.65 33.4 31.85 34.7 27.56 29.44 32.48 38.64 52.27 55.67 61.08 63.45 66.52
"65" "Chile" 23.85 23.15 19.59 19.9 20.65 20.51 19.23 20.39 23.91 29.61 31.87 30.52 31.55 33.4 36.75 40.15 45.46 53.81 54.2 59.47 55.09 54.53 53.84 58.04 64.29 68.15 69.91 63.4 68.3 65.7
"66" "Belarus" NA NA NA NA NA NA NA NA NA NA NA NA 91.58 81.28 66.1 62.34 60.6 58.84 56.75 58.16 60.05 54 50.96 55.67 54.79 64.33 66.42 68.09 66.93 60.57
"67" "Syria" 16.43 17.53 17.7 20.34 22.34 23.5 24.02 27.68 28.51 30.87 36.93 33.15 35.38 38.61 41.4 39.88 42.26 44.43 47.74 50.88 50.99 49.34 52.43 52.85 52.79 51.06 52.1 51.91 53.6 56.88
"68" "Turkmenistan" NA NA NA NA NA NA NA NA NA NA NA NA 20.45 19.1 18.24 18.55 18.2 19.42 17.59 19.07 23.94 29.76 34.18 44.01 47.01 49.15 49.96 53.4 57.48 56.78
"69" "Portugal" 23.56 21.09 27.43 28.04 27.06 29.21 31.4 32.58 34.02 43.01 43.91 44.35 47.6 45.84 46.51 50.83 48.42 52.45 56.19 63.44 63.54 61.11 65.99 61.86 63.39 66.07 61.47 59.67 55.74 56.55
"70" "Bangladesh" 7.64 8.32 8.93 8.1 9.34 9.83 11.19 12.26 13.35 14.56 14.93 14.81 16.5 17.55 19.39 22.56 22.75 23.76 24.15 26.94 29.36 32.52 34.23 36.89 38.9 40.93 44.59 46.28 50.39 55.13
"71" "Libya" 32.44 26.67 27.79 27.46 26.24 27.68 30.11 30.92 34.83 37.38 42.41 41.61 36.56 36.88 38.14 39.58 41.76 43.62 41.87 39.69 41.89 43.45 48.38 46.39 52.35 56.85 52.48 54.06 57.24 55.03
"72" "Serbia" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 53.8 53.56 54.08 52.33
"73" "Finland" 55.34 52.09 46.87 44.22 42.79 46.8 50.35 50.92 49.22 51.7 53.23 51.25 49.49 52.4 58.01 49.85 53.05 53.86 50.16 47.97 50.12 53.1 53.53 66.66 61.46 51.92 57.92 58.16 54.86 52.15
"74" "Sweden" 82.3 72.85 63.25 59.38 57.27 61.85 65.69 64.04 61.51 58.12 57.08 56.48 58.99 60.57 64.76 64.17 67.36 65.74 66.18 64.76 60.65 60.24 57.1 60.76 60.37 57.61 56.73 56.52 54.77 50.56
"75" "Hungary" 83.75 82.86 82.34 80.91 81.61 82.47 77.28 76.91 72.39 71.33 66.75 66.12 62.7 58.96 58.9 57.58 59.36 58.7 58.09 58.25 55.35 57.38 57.45 59.6 58.05 59.5 58.51 56.63 56.05 50.03
"76" "Denmark" 64.97 60.31 55.44 51.48 54.48 63.37 64.84 64.28 59.17 59.13 57.11 64.15 61.28 59.18 64.72 69.21 72.48 74.68 60.05 57.58 54.5 56.04 53.14 61.69 56.31 51.87 59.31 56.88 54.22 49.56
"77" "Oman" 3.96 4.16 5.04 5.79 7.73 7.37 8.81 8.93 8.09 10.41 12.46 14.19 13.53 14.77 15.08 14.14 14.6 17.96 21.82 20.56 21.79 22.2 22.99 22.47 24.36 30.68 35.58 37.71 44.56 48.96
"78" "Trinidad and Tobago" 10.56 10.1 9.88 15.06 16.05 17.86 16.78 16.98 17.21 17.43 18.19 18.61 17.4 19.28 21.74 22.63 24.21 25.7 25.53 26.26 27.51 30.01 30.89 29.78 32.56 39.25 47.2 46.97 49.89 47.82
"79" "Switzerland" 47.22 39.85 36.98 39.82 39.67 41.07 44.21 42.66 42.58 42.05 43.48 45.13 45.78 43.53 42.83 44.12 44.97 43.98 45.81 46.16 45.44 45.91 44.33 45.07 45.47 45.75 45.54 43.88 45.34 45.81
"80" "Bulgaria" 88.56 86.44 89.38 89.46 90.36 92.52 96.91 96.16 92.32 85.45 76.19 56.8 57.59 52.05 51.02 52.08 53.59 54.08 49.86 44.71 49.03 52.37 47.96 51.66 51.11 52.05 52.69 51.74 50.46 44.46
"81" "Ireland" 21.44 20.63 20.17 19.68 19.11 20.02 23.69 24.43 23.52 24.31 25.87 26.82 27.5 28.15 29.33 30.33 31.74 34.66 36.57 38.54 40.68 43.3 42.37 41.25 43.36 44.36 45.88 44.99 45.37 40.27
"82" "Norway" 33.57 31.16 28.7 29.44 30.69 33.92 36.47 34.49 34.02 36.01 34.78 32.36 35.67 34.15 36.09 37.86 39.84 41.75 41.99 44.08 41.25 41.52 42.13 45.43 48.12 42.06 41.04 41.94 39.69 39.58
"83" "New Zealand" 20.04 19.58 20.69 21.39 22.78 23.07 25.04 25.07 27.62 27.52 28.82 28.94 31.27 30.04 31.17 31.16 32.22 34.41 32.17 34.78 34.95 37.59 38.07 39.39 39.3 40.29 39.9 39.07 39.51 39.07
"84" "Peru" 21.83 22.77 26.14 24.02 22.81 22.83 25.47 24.6 24.77 21.41 20.1 18.89 20.14 22.25 23.23 24.73 25.71 25.36 26.03 26.64 26.92 26.09 26.17 26.47 29.01 30.35 32.72 34.55 36.71 38.19
"85" "Morocco" 16.43 16.09 16.76 17.39 16.62 17.42 19.92 19.55 20.22 21.76 22.63 23.44 23.73 26.48 28.98 27.96 28.79 28.41 28.8 31.01 31.2 33.75 33.69 34.44 33.2 34.6 35.67 36.17 37.3 36.49
"86" "Azerbaijan" NA NA NA NA NA NA NA NA NA NA NA NA 60.14 50.44 46.12 45.27 38.92 38.46 47.82 48.87 43.76 31.22 34.19 33.9 35.83 37.1 39.79 35.08 39.69 36.16
"87" "Slovakia" NA NA NA NA NA NA NA NA NA NA NA NA NA 42.87 40.19 42.57 43.86 41.48 38.71 37.25 36.4 39.62 39.11 39.36 38.23 39.6 39.68 37.73 37.42 35.75
"88" "Puerto Rico" 28.88 31.03 22.69 22.08 24.37 21.07 22.97 24.09 21.61 20.45 20.23 24.02 23.34 24.48 25.26 24.28 24.21 24.97 27.51 26.34 27.72 34.54 35.22 37.45 38.2 37.79 37.87 34.17 34.37 33.26
"89" "Bahrain" 7.76 8.84 9.36 10.73 9.57 11.36 12.25 14.74 12.65 13.06 14.29 15.93 13.57 16.03 15.84 15.88 15.86 18.47 19.43 20.25 20.26 20.8 21.85 22.45 23.14 25.26 27.82 29.28 30.63 31.1
"90" "Cuba" 29.94 30.5 33.05 30.18 31.32 31.99 34.97 34.42 35.1 36.27 35.38 32.53 28.87 28.62 29.12 30.84 30.24 33.53 32.6 33.31 32.86 33.26 34.11 33.24 33.14 28.59 25.22 26.27 29.01 30.37
"91" "Ecuador" 12.78 13.44 14.58 12.91 12.81 13.53 14.78 13.6 14.65 13.93 15.09 15.88 18.39 16.62 18 19.29 19.73 20.16 21.45 19.56 20.08 21.52 21.73 22.43 23.53 24.65 26.55 27.6 28.24 28.71
"92" "Angola" 3.39 3.38 3.59 3.85 3.41 4.29 4.59 4.65 4.84 4.73 7.17 7.48 7.5 7.68 7.39 12.15 12.15 12.96 12.37 13.48 13.03 14.98 15.65 18.91 19.83 20.34 21.27 24.21 23.57 24
"93" "Yemen" 6.43 6.55 7.7 7.03 8.88 9.91 9.99 9.9 10.23 10.85 11.44 11.76 12.23 10.09 9.9 10.67 10.91 10.8 11.4 12.31 13.18 13.97 15.4 16.65 16.65 17.38 18.98 16.39 20.19 22.92
"94" "Tunisia" 8.48 9.33 8.74 10.02 10.7 10.83 11.93 10.9 11.85 13.06 13.05 12.97 12.81 15.11 16.07 14.4 15.38 17.33 18.52 19.09 19.67 21.43 21.17 20.81 21.12 22.29 21.28 20.18 21.67 22.9
"95" "Croatia" NA NA NA NA NA NA NA NA NA NA NA NA 16.58 16.94 17.78 18.35 17.44 18.71 19.86 20.1 20.1 20.24 21.09 22.39 21.67 20.99 22.82 22.2 22.6 21.54
"96" "Jordan" 5.21 6.16 7.04 7.56 7.84 8.1 9.05 9.98 9.28 9.42 10.18 9.62 11.2 11.07 12.7 13.22 14.24 13.78 14.87 15.15 15.63 15.3 16 17.08 18.23 19.28 20.06 20.13 19.54 20.02
"97" "Dominican Republic" 5.44 5.22 5.58 6.75 5.91 6.63 6.87 8.08 8.55 8.15 9.06 9.22 10.34 9.19 9.88 11.02 11.62 12.24 12.68 14.36 15.8 16.59 17.14 19.54 18.12 17.44 18.43 19.21 19.45 19.86
"98" "Bosnia and Herzegovina" NA NA NA NA NA NA NA NA NA NA NA NA 18.97 15.18 5.01 8.85 4.52 9.49 11.79 11.67 15.13 14.78 15.91 16.13 17.14 18.36 19.49 20.02 21.81 18.35
"99" "Estonia" NA NA NA NA NA NA NA NA NA NA NA NA 25.84 16.75 16.6 14.77 19.63 18.29 18.57 16.04 16.27 16.65 16.51 18.63 19.27 18.9 18.63 20.82 19.83 17.49
"100" "Slovenia" NA NA NA NA NA NA NA NA NA NA NA NA 12.66 13.25 13.19 15.35 16.73 16.63 16.24 16.38 15.68 16.07 16.53 16.8 16.81 17.08 17.08 16.89 17.28 17.37
